id,otu_ids,,otu_labels
1286,2859,,"Bacteria,Firmicutes,Clostridia,Clostridiales,IncertaeSedisXI,Peptoniphilus"
1287,3476,,"Bacteria,Proteobacteria,Gammaproteobacteria"
1288,2539,,"Bacteria,Firmicutes,Clostridia,Clostridiales,IncertaeSedisXI,Anaerococcus"
1290,3476,,"Bacteria,Proteobacteria,Gammaproteobacteria"
1291,1167,,"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas"
1292,1167,,"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas"
1293,3643,,"Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Jonquetella"
1294,728,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales"
1295,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1296,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1308,909,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae"
1309,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1310,2011,,"Bacteria,Firmicutes,Clostridia,Clostridiales"
1374,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1415,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1439,944,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
1441,2011,,"Bacteria,Firmicutes,Clostridia,Clostridiales"
1443,922,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
1486,3218,,"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae"
1487,3211,,"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium"
1489,922,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
1490,1167,,"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas"
1491,1167,,"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas"
1494,922,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
1499,2859,,"Bacteria,Firmicutes,Clostridia,Clostridiales,IncertaeSedisXI,Peptoniphilus"
1500,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1501,922,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
1502,922,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
1503,2011,,"Bacteria,Firmicutes,Clostridia,Clostridiales"
1504,922,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
1505,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1506,2539,,"Bacteria,Firmicutes,Clostridia,Clostridiales,IncertaeSedisXI,Anaerococcus"
1507,922,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
1508,944,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
1510,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1511,1167,,"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas"
1512,922,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
1513,922,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
1514,1453,,"Bacteria,Cyanobacteria,Cyanobacteria,Chloroplast,Streptophyta"
1515,922,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
1516,922,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
1517,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1518,1167,,"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas"
1519,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1521,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1524,728,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales"
1526,3184,,"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae"
1527,1929,,"Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus"
1530,2859,,"Bacteria,Firmicutes,Clostridia,Clostridiales,IncertaeSedisXI,Peptoniphilus"
1531,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1532,922,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
1533,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1534,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1535,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1536,922,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
1537,2419,,"Bacteria,Firmicutes,Clostridia,Clostridiales,IncertaeSedisXI,Anaerococcus"
1539,3643,,"Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Jonquetella"
1540,1014,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Micrococcus"
1543,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1544,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1545,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1546,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1547,970,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermacoccaceae,Dermacoccus"
1548,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1549,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1550,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1551,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1552,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
